15/04/2024 06:25:15 AM : root         : INFO     :  ******** Enrollment (Order - 12) Begin ********
15/04/2024 06:25:15 AM : root         : INFO     : Enrollment_module_TC_001 started
15/04/2024 06:25:23 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:25:23 AM : root         : INFO     : url is not open
15/04/2024 06:25:23 AM : root         : INFO     : opening localhost portal login
15/04/2024 06:25:23 AM : root         : INFO     : logging in to core
15/04/2024 06:25:23 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:25:23 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:25:25 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:25:26 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:25:28 AM : root         : INFO     : login success..
15/04/2024 06:25:31 AM : root         : INFO     : Enrollment link is clicked
15/04/2024 06:25:32 AM : root         : INFO     : Enrollment count is :,Displaying 20 of 27 Enrollments.
15/04/2024 06:25:32 AM : root         : INFO     : Enrollment count is displayed
