15/04/2024 06:14:39 AM : root         : INFO     :  ******** Enrollment (Order - 12) Begin ********
15/04/2024 06:14:39 AM : root         : INFO     : Enrollment_Module_tc_002 started
15/04/2024 06:14:46 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:14:46 AM : root         : INFO     : url is not open
15/04/2024 06:14:47 AM : root         : INFO     : opening localhost portal login
15/04/2024 06:14:47 AM : root         : INFO     : logging in to core
15/04/2024 06:14:47 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:14:47 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:14:49 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:14:50 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:14:52 AM : root         : INFO     : login success..
15/04/2024 06:14:56 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:14:56 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:14:56 AM : root         : INFO     : clicked on Identify and enroll link
15/04/2024 06:14:57 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:14:57 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:14:57 AM : root         : INFO     : clicked on upload image icon
15/04/2024 06:15:01 AM : root         : INFO     : Image upload success
15/04/2024 06:15:02 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:15:02 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:15:02 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:15:02 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:15:02 AM : root         : INFO     : Clicked on Identify and Enroll button
15/04/2024 06:15:08 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:15:08 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:15:13 AM : root         : INFO     : region btn clicked
15/04/2024 06:15:14 AM : root         : INFO     : edge name: sceedge13-vm
15/04/2024 06:15:14 AM : root         : INFO     : region name selected: SCEEDGE13-VM
15/04/2024 06:15:14 AM : root         : INFO     : save btn : 
15/04/2024 06:15:23 AM : root         : INFO     : save btn displayed: True
15/04/2024 06:15:23 AM : root         : INFO     : Enrollment details filled and save btn is clicked
15/04/2024 06:15:23 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:15:24 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:15:24 AM : root         : INFO     : Success msg is visible : True
15/04/2024 06:15:28 AM : root         : INFO     : wrong url detected: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:15:31 AM : root         : INFO     : page url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:15:31 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:15:31 AM : root         : INFO     : url is not open
15/04/2024 06:15:32 AM : root         : INFO     : opening localhost portal login
15/04/2024 06:15:32 AM : root         : INFO     : logging in to core
15/04/2024 06:15:32 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:15:42 AM : root         : INFO     : element not found: //div/input[@id="login-username"]
15/04/2024 06:15:43 AM : root         : INFO     : exception: ()
15/04/2024 06:15:47 AM : root         : INFO     : actual text is DISABLED
15/04/2024 06:15:47 AM : root         : INFO     : expected text is DISABLED
15/04/2024 06:15:47 AM : root         : INFO     : status: [True, True, False]
15/04/2024 06:15:47 AM : root         : ERROR    : screenshot file path: C:\Users\FFAzureAdmin\Desktop\rr_automation\Reports\Screenshots\test_TC_IE_00.png
