15/04/2024 06:30:41 AM : root         : INFO     :  ******** Enrollment (Order - 12) Begin ********
15/04/2024 06:30:41 AM : root         : INFO     : Enrollment_tc_05 started
15/04/2024 06:30:41 AM : root         : INFO     : ab folder image names list: ['1862_20220526-124558.png', '1863_20220526-124559.png', '1864_20220526-124600.png', '1865_20220526-124601.png', '1867_20220526-124603.png']
15/04/2024 06:30:47 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:30:47 AM : root         : INFO     : url is not open
15/04/2024 06:30:48 AM : root         : INFO     : opening localhost portal login
15/04/2024 06:30:48 AM : root         : INFO     : logging in to core
15/04/2024 06:30:48 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:30:48 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:30:50 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:30:51 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:30:53 AM : root         : INFO     : login success..
15/04/2024 06:30:57 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:30:57 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:30:57 AM : root         : INFO     : clicked on Identify and enroll link
15/04/2024 06:30:58 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:30:58 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:30:58 AM : root         : INFO     : clicked on upload image icon
15/04/2024 06:31:02 AM : root         : INFO     : Image upload success
15/04/2024 06:31:03 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:31:03 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:31:03 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:31:03 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:31:03 AM : root         : INFO     : Clicked on Identify and Enroll button
15/04/2024 06:31:07 AM : root         : INFO     : enrollment details : {'Enrollment_basis': 'Documented Probable Cause', 'Enrollment_group': 'vip (Serious Offender - None)', 'region_hierarchy': 'sceedge13', 'Location_store': 'mumbai', 'case_subject': 'pending', 'reported_loss': '0', 'Action': 'pending'}
15/04/2024 06:31:07 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:31:07 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:31:11 AM : root         : INFO     : enrollment group selection
15/04/2024 06:31:12 AM : root         : INFO     : enrollment group selected = vip (Serious Offender - None)
15/04/2024 06:31:14 AM : root         : INFO     : region btn clicked
15/04/2024 06:31:15 AM : root         : INFO     : edge name: sceedge13
15/04/2024 06:31:15 AM : root         : INFO     : region name selected: SCEEDGE13-VM
15/04/2024 06:31:15 AM : root         : INFO     : save btn : 
